id,date,county,state,fips,cases,deaths
416,3/1/20,New York City,New York,,1,0
448,3/2/20,New York City,New York,,1,0
482,3/3/20,New York City,New York,,2,0
518,3/4/20,New York City,New York,,2,0
565,3/5/20,New York City,New York,,4,0
627,3/6/20,New York City,New York,,5,0
715,3/7/20,New York City,New York,,12,0
820,3/8/20,New York City,New York,,14,0
947,3/9/20,New York City,New York,,20,0
1098,3/10/20,New York City,New York,,37,0
1285,3/11/20,New York City,New York,,52,0
1521,3/12/20,New York City,New York,,96,0
1814,3/13/20,New York City,New York,,155,0
2163,3/14/20,New York City,New York,,269,1
2574,3/15/20,New York City,New York,,330,5
3033,3/16/20,New York City,New York,,464,7
3549,3/17/20,New York City,New York,,645,10
4150,3/18/20,New York City,New York,,1339,20
4879,3/19/20,New York City,New York,,2468,22
5728,3/20/20,New York City,New York,,4408,43
6722,3/21/20,New York City,New York,,6211,60
7817,3/22/20,New York City,New York,,9045,99
9015,3/23/20,New York City,New York,,12305,131
10326,3/24/20,New York City,New York,,14905,192
11767,3/25/20,New York City,New York,,20011,280
13380,3/26/20,New York City,New York,,23112,365
15124,3/27/20,New York City,New York,,25399,450
16964,3/28/20,New York City,New York,,30766,672
18902,3/29/20,New York City,New York,,33768,776
20952,3/30/20,New York City,New York,,38087,914
23093,3/31/20,New York City,New York,,43139,1096
25297,4/1/20,New York City,New York,,47440,1374
27556,4/2/20,New York City,New York,,51810,1562