Queue Pos.,Owner/Developer,Project Name,Date of IR,SP (MW),WP (MW),Type/ Fuel,County,State,Z,Interconnection Point,Utility ,S,Last Update,Availability of Studies,FS Complete/ SGIA Tender,Proposed  In-Service,Proposed Initial-Sync,Proposed COD
0276,"EDF Renewables Development, Inc.",Homer Solar Energy Center,1/30/08,90,90,S,Cortland,NY,C,Cortland - Fenner 115kV,NM-NG,9,11/30/19,"FES, SRIS",,11/2023,11/2023,12/2023
0339,RG&E,Transmission Reinforcement,8/17/09,N/A,N/A,AC,Monroe,NY,B,Niagara - Kintigh 345kV,RG&E,12,4/30/19,SIS,N/A,08/2021,N/A,N/A
0349,"Taylor Biomass Energy-Montgomery, LLC",Taylor Biomass,12/30/09,19,22.5,SW,Orange,NY,G,Maybrook - Rock Tavern 69kV,CHGE,12,12/31/17,"SRIS, FS",10/15/13,08/2020,N/A,04/2021
0363,"Anbaric Development Partners, LLC",Poseidon Offshore,4/27/11,500,500,W,NY - Suffolk,NY,K,Ruland Rd. 138kV,LIPA,10,3/31/19,"FES, SRIS, FS",2/2/17,07/2020,11/2020,01/2021
0372,"Dry Lots Wind, LLC",Dry Lots Wind,10/31/11,33,33,W,Herkimer,NY,E,Schuyler - Whitesboro 46kV,NM-NG,7,11/30/18,"FES, SIS",,11/2020,10/2020,12/2020
0386,"Vermont Green Line Devco, LLC",Grand Isle Intertie,6/28/12,400,400,DC,Clinton,NY,D,"Plattsburgh 230kV-New Haven, VT 345kV",NYPA,6,11/30/18,"FES, SIS",,12/2023,N/A,N/A
0387,"Cassadaga Wind, LLC",Cassadaga Wind,7/19/12,126,126,W,Chautauqua,NY,A,Dunkirk - Moon Station 115 kV,NM-NG,11,12/31/19,"FES, SRIS, FS",7/9/19,05/2020,05/2020,12/2020
0393,"NRG Berrians East Development, LLC",Berrians East Replacement,10/16/12,94.2,57,D,Queens,NY,J,Astoria East Substation 138kV,CONED,11,12/31/19,"FES, SRIS, FS",7/9/19,07/2022,10/2022,02/2023
0396,"Baron Winds, LLC",Baron Winds,11/30/12,300,300,W,Steuben,NY,C,Hillside - Meyer 230kV,NYSEG,10,7/31/19,"FES, SRIS, FS",7/9/19,05/2020,05/2020,12/2020
0396A,New York State Electric & Gas,Wood Street Transformer,12/14/12,N/A,N/A,AC,Putnam,NY,G,Wood St. 345/115kV,NYSEG,6,12/31/19,SIS,,12/2021,N/A,N/A
0421,EDP Renewables North America LLC,Arkwright Summit,11/1/13,78.4,78.4,W,Chautauqua,NY,A,Dunkirk - Falconer 115 kV,NM-NG,14,7/31/19,"SRIS, FS",7/9/19,,,I/S
0422,"NextEra Energy Resources, LLC",Eight Point Wind Energy Center,11/7/13,101.2,101.2,W,Steuben-Allegany,NY,C,Bennett 115kV,NYSEG,10,7/31/19,"FES, SRIS, FS",7/9/19,07/2020,07/2020,12/2020
0429,Orange & Rockland,North Rockland Station,2/12/14,N/A,N/A,AC,Steuben,NY,G,Line Y88 345kV,ConEd,6,12/31/19,SIS,N/A,06/2021,N/A,N/A
0430,H.Q. Energy Services U.S. Inc.,Cedar Rapids Transmission,3/5/14,N/A,N/A,AC,St. Lawrence,NY,D,Dennison - Alcoa 115kV,NM-NG,12,12/31/19,"SIS, FS",10/2/18,12/2020,N/A,N/A
0444,"Cricket Valley Energy Center, LLC",Cricket Valley Energy Center II,6/18/14,1020,1132,CC,Dutchess,NY,G,Pleasant Valley - Long Mt. 345kV,ConEd,13,1/31/20,"SRIS, FS",7/9/19,12/2017,,03/2020
0445,"Lighthouse Wind, LLC",Lighthouse Wind,6/30/14,201.3,201.3,W,Niagara,NY,A,AES Somerset Substation 345kV,NYSEG,7,8/31/17,"FES, SRIS",,08/2020,,12/2020
0449,"Stockbridge Wind, LLC",Stockbridge Wind,8/13/14,72.6,72.6,W,Madison,NY,C,Whitman - Oneida 115kV,NM-NG,7,12/31/19,"FES, SRIS",,04/2023,05/2023,10/2023
0458,"TDI-USA Holdings, Inc.",CH Interconnection,10/24/14,1000,1000,DC,Quebec-New York,NY,J,Astoria Annex Substation 345kV,NYPA,9,12/31/19,"FES, SRIS",,12/2022,12/2022,12/2022
0461,Consolidated Edison Co. of NY,East River 1 Uprate,12/1/14,2,2,CT,New York,NY,J,East River Complex,ConEd,14,12/31/19,"SRIS, FS",7/9/19,,,I/S
0462,Consolidated Edison Co. of NY,East River 2 Uprate,12/1/14,2,2,CT,New York,NY,J,East River Complex,ConEd,14,12/31/19,"SRIS, FS",7/9/19,,,I/S
0465,Hudson Transmission Partners,Hudson Transmission NY to PJM,12/15/14,675,675,DC,New York,NY,J,W49th St 345kV - Bergen 230kV,ConEd,9,12/31/19,SIS,,03/2021,N/A,N/A
0466,"Atlantic Wind, LLC",Bone Run Wind,12/16/14,132,132,W,Cattaraugus,NY,A,Falconer - Homer Hill 115kV,NM-NG,7,1/31/18,"FES, SRIS",,11/2021,11/2021,12/2021
0467,Shoreham Solar Commons LLC,Shoreham Solar,12/22/14,25,25,S,Suffolk,NY,K,Ridge - Wildwood 69kV,LIPA,14,7/31/19,"SRIS, FS",7/9/19,,,I/S
0468,Apex Clean Energy LLC,Galloo Island Wind,12/30/14,110.4,110.4,W,Oswego,NY,C,Hammermill - Wine Creek 115kV,NM-NG,8,7/31/19,"FES, SRIS",,10/2019,,12/2019
0474,EDP Renewables North America,North Slope Wind,1/30/15,200,200,W,Franklin-Clinton,NY,D,Patnode 230kV,NYPA,7,3/31/17,"FES, SRIS",,10/2021,10/2021,10/2021
0477,Riverhead Solar Farm LLC,Riverhead Solar,2/18/15,20,20,S,Suffolk,NY,K,Edwards Substation 138kV,LIPA,14,5/31/19,"FES, SIS, FS",3/16/18,,,I/S
0487,"LI Energy Storage System, LLC",Far Rockaway Battery Storage,3/9/15,20,20,ES,Nassau,NY,K,Far Rockaway Substation 69kV,LIPA,9,9/30/19,"FES, SIS",,10/2021,11/2021,12/2021
0495,Mohawk Solar LLC,Mohawk Solar,4/2/15,90.5,90.5,S,Montgomery,NY,F,St. Johnsville - Marshville 115kV,NM-NG,9,1/30/20,"FES, SRIS",,05/2021,06/2021,11/2021
0496,"Renovo Energy Center, LLC",Renovo Energy Center,4/13/15,480,504,CC,Clinton,PA,C,Homer City - Mainsburg 345kV,NYSEG,8,12/31/19,"FES, SRIS",,09/2019,,06/2020
0497,Invenergy Wind Development LLC,Bull Run Wind,4/24/15,303.6,303.6,W,Clinton,NY,D,Patnode 230kV,NYPA,7,9/30/18,"FES, SRIS",,,,12/2022
0498,"ESC Tioga County Power, LLC",Tioga County Power,4/29/15,550,550,CC,Tioga,PA,C,Homer City - Mainsburg 345kV,NYSEG,8,12/31/19,"FES, SRIS",,06/2020,,05/2021
0505,"Ball Hill Wind Energy, LLC",Ball Hill Wind,6/2/15,100,100,W,Chautauqua,NY,A,Dunkirk - Gardenville 230kV,NM-NG,11,1/31/20,"FES, SRIS, FS",7/9/19,09/2019,09/2019,12/2019
0506,Empire State Connector Corp.,Empire State Connector,6/10/15,1000,1000,DC,Onondaga-New York,NY,"E, J",Marcy - Gowanus 345kV,NYPA/ConEd,7,8/31/19,"FES, SRIS",,10/2021,,01/2022
0510,Bayonne Energy Center,Bayonne Energy Center II,8/3/15,120.4,129.4,D,Hudson,NJ,J,Gowanus Substation 345kV,ConEd,14,12/31/19,"SRIS, FS",7/9/19,,,I/S
0513,Orangeville Energy Storage LLC,Orangeville,9/21/15,20,20,ES,Wyoming,NY,C,Stony Creek 230kV,NYSEG,10,1/31/19,"SIS, FS",1/29/18,10/2020,,12/2020
0518,PPL Electric Utilities,Compass,10/27/15,N/A,N/A,AC,Rockland,NY,G,Lackawanna - Ramapo 345kV,ConEd,5,12/31/19,FES,,12/2023,N/A,N/A
0519,Canisteo Wind Energy LLC,Canisteo Wind,11/2/15,290.7,290.7,W,Steuben,NY,C,Bennett 115kV,NYSEG,9,10/31/18,"FES, SRIS",,09/2020,09/2020,12/2020
0520,EDP Renewables North America,Rolling Upland Wind,12/3/15,72.6,72.6,W,Madison,NY,E,County Line - Brothertown 115kV,NYSEG,7,3/31/18,"FES, SRIS",,07/2019,,10/2019
0521,"Invenergy NY, LLC",Bull Run II Wind,12/15/15,145.4,145.4,W,Clinton,NY,D,"Patnode-Duley, Ryan-Platts 230kV",NYPA,7,11/30/18,"FES, SRIS",,12/2021,,12/2022
0523,Dunkirk Power LLC,Dunkirk Unit 2,12/17/15,75,75,ST,Chautauqua,NY,A,Dunkirk 115kV,NM-NG,8,12/31/19,SRIS,,01/2020,,04/2020
0524,Dunkirk Power LLC,Dunkirk Unit 3 & 4,12/17/15,370,370,ST,Chautauqua,NY,A,Dunkirk 230kV,NM-NG,8,12/31/19,SRIS,,01/2020,,04/2020
0526,"Atlantic Wind, LLC",North Ridge Wind,12/23/15,100,100,W,St. Lawrence,NY,D,Malone - Colton 115kV,NM-NG,7,1/31/18,"FES, SRIS",,11/2020,11/2020,12/2020
0531,Invenergy Wind Development LLC,Number 3 Wind Energy,1/11/16,105.8,105.8,W,Lewis,NY,E,Taylorville - Boonville 115kV,NM-NG,9,10/31/18,"FES, SRIS",,09/2020,09/2020,12/2020
0535,"sPower Development Company, LLC",Riverhead Expansion,2/23/16,36,36,S,Suffolk,NY,K,Edwards Substation 138kV,LIPA,9,1/31/20,"FES, SRIS",,07/2021,08/2021,10/2021
0540,AVANGRID,Connect NY Edic - PV,4/28/16,1000,1000,DC,Oneida-Dutchess,NY,"E, G",Edic - PV 345kV,NM-NG/NYSEG/ ConEd,6,12/31/19,SIS,,12/2020,,
0541,AVANGRID,Connect NY Edic - Ramapo,4/28/16,1000,1000,DC,Oneida-Dutchess,NY,"E, G",Edic - Ramapo 345kV,NM-NG/NYSEG/ O&R,6,12/31/19,SIS,,12/2020,,
0543,National Grid,Segment B Knickerbocker-PV,5/4/16,N/A,N/A,AC,Albany-Dutchess,NY,"F, G",Greenbush - PV 345kV,NM-NG/NYSEG/ CHGE/ConEd,9,12/31/19,SIS,,09/2022,,
0545,"Delaware River Solar, LLC",Sky High Solar,5/10/16,20,20,S,Onondaga,NY,C,Tilden -Tully Center 115kV,NM-NG,10,2/29/20,"FES, SIS, FS",10/1/19,04/2021,04/01/21,05/2021
0545A,"NextEra Energy Transmission New York, Inc.",Empire State Line Alt,5/17/16,N/A,N/A,AC,Niagara-Erie,NY,A,Dysinger - Stolle 345kV,NYPA/NYSEG,10,12/31/19,"SIS, FS",N/A,06/2022,N/A,N/A
0546,"Atlantic Wind, LLC",Roaring Brook Wind,5/19/16,79.7,79.7,W,Lewis,NY,E,Chases Lake Substation 230kV,NM-NG,9,1/31/20,"FES, SRIS",,11/2020,11/2020,12/2020
0556,"LS Power Grid New York, LLC",Segment A Double Circuit,7/6/16,N/A,N/A,AC,Oneida-Albany,NY,"E, F",Edic - New Scotland 345kV,NM-NG,9,12/31/19,SIS,,06/2020,N/A,N/A
0560,"Atlantic Wind, LLC",Deer River Wind,7/8/16,100,100,W,Lewis,NY,E,Black River-Lighthouse Hill 115kV,NM-NG,9,7/31/19,"FES, SRIS",,09/2021,10/2021,12/2021
0564,"Rock District Solar, LLC",Rock District Solar,7/25/16,20,20,S,Schoharie,NY,F,Sharon - Cobleskill 69kV,NM-NG,9,1/31/20,SIS,,01/2021,02/2021,04/2021
0565,"Tayandenega Solar, LLC",Tayandenega Solar,7/25/16,20,20,S,Herkimer,NY,F,St. Johnsville - Inghams 115kV,NM-NG,9,12/31/19,SIS,,01/2021,02/2021,04/2021
0566,New York Power Authority,MA 1 & 2 Rebuild,8/4/16,N/A,N/A,AC,St. Lawrence-Lewis,NY,"D, E",Moses & Adirondack 230kV,NYPA,6,12/31/19,SIS,,12/2022,N/A,N/A
0570,Hecate Energy Albany 1 LLC,Albany County 1,8/17/16,20,20,S,Albany,NY,F,Long Lane - Lafarge 115kV,NM-NG,10,2/29/20,SIS,,05/2020,05/2020,06/2020
0571,"Heritage Renewables, LLC",Heritage Wind,9/1/16,200.1,200.1,W,Genesee,NY,B,Lockport - Mortimer 115kV,NM-NG,9,12/31/19,"FES, SRIS",,07/2021,08/2021,10/2021
0572,Hecate Energy Greene 1 LLC,Greene County 1,9/6/16,20,20,S,Greene,NY,G,Coxsackie - North Catskill 69kV,CHGE,10,2/29/20,SIS,,11/2020,11/2020,12/2020
0573,Hecate Energy Greene 2 LLC,Greene County 2,9/6/16,10,10,S,Greene,NY,G,Coxsackie Substation 13.8kV,CHGE,10,2/29/20,SIS,,11/2020,11/2020,12/2020
0574,"Atlantic Wind, LLC",Mad River Wind,9/16/16,450,450,W,Jefferson-Oswego,NY,E,Volney - Marcy 345kV,NM-NG,7,4/30/19,"FES, SRIS",,11/2021,11/2021,12/2021
0575,"Little Pond Solar, LLC",Little Pond Solar,9/16/16,20,20,S,Rockland,NY,G,Mongaup - Shoemaker 69kV,O&R,9,12/31/19,"FES, SIS",,09/2020,10/2020,12/2020
0577,"Greene County Energy Properties, LLC",Greene County Energy,9/20/16,20,20,S,Greene,NY,G,New Baltimore - Coxsackie 69 kV,CHGE,7,12/31/19,SIS,,12/2020,12/2020,12/2020
0579,"Bluestone Wind, LLC",Bluestone Wind,9/21/16,124.2,124.2,W,Broome,NY,E,Afton - Stilesville 115kV,NYSEG,9,12/31/18,"FES, SRIS",,09/2020,09/2020,12/2020
0580,Genesee County Economic Devel.,WNY STAMP,9/27/16,500,500,L,Genesee,NY,A,Kintigh/Niagara - Rochester 345kV,NYPA,6,12/31/18,SIS,,06/2020,N/A,NA
0581,SED NY Holdings LLC,Hills Solar,10/6/16,20,20,S,Herkimer,NY,E,Fairfield - Inghams 115kV,NM-NG,10,2/29/20,"FES, SIS",,06/2020,06/2020,07/2020
0584,SunEast Dog Corners Solar LLC,Dog Corners Solar,11/2/16,20,20,S,Cayuga,NY,C,Aurora Substation 34.5kV,NYSEG,10,1/31/20,"SIS, FS",9/24/18,06/2020,08/2020,08/2020
0586,SED NY Holdings LLC,Watkins Rd Solar,11/8/16,20,20,S,Herkimer,NY,E,Watkins Rd - Ilion 115kV,NM-NG,10,2/29/20,"SIS, FS",,04/2020,04/2020,04/2020
0589,"Duke Energy Renewables Solar, LLC",North Country Solar,12/2/16,15,15,S,Lewis,NY,E,Boonville 46kV Substation,NM-NG,9,9/30/19,"FES, SIS",,09/2020,09/2020,12/2020
0590,"Duke Energy Renewables Solar, LLC",Scipio Solar,12/2/16,18,18,S,Cayuga,NY,C,Scipio 34.5kV Substation,NYSEG,10,12/31/19,"SIS, FS",5/22/19,09/2020,08/2020,11/2020
0591,SED NY Holdings LLC,High Top Solar,12/2/16,20,20,S,Wyoming,NY,C,South Perry 34.5kV Substation,NYSEG,9,12/31/19,SIS,,07/2021,09/2021,11/2021
0592,"Duke Energy Renewables Solar, LLC",Niagara Solar,12/2/16,20,20,S,Wyoming,NY,B,Bennington 34.5kV Substation,NYSEG,10,9/30/19,"SIS, FS",5/22/19,09/2020,08/2020,11/2020
0594,"North Park Energy, LLC",NW Energy,12/29/16,60,60,ES,Wyoming,NY,C,Wethersfield Substation 230kV,NYSEG,9,1/31/20,SRIS,,10/2021,10/2021,12/2021
0595,"North Park Energy, LLC",SW Energy,12/29/16,100,100,ES,Cattaraugus,NY,A,Five Mile Rd Substation 115kV,NM-NG,9,7/31/19,"FES, SRIS",,10/2021,10/2021,12/2021
0596,Invenergy Wind Development LLC,Alle Catt II Wind,1/4/17,339.1,339.1,W,Cattaraugus,NY,A,Stolle Rd - Five Mile Rd 345kV,NM-NG,9,12/31/18,SRIS,,10/2021,10/2021,12/2021
0597,Hecate Energy Greene County 3 LLC,Greene County 3,1/10/17,20,20,S,Greene,NY,G,North Catskill - Coxsackie 69kV,CHGE,9,7/31/19,SIS,,11/2020,11/2020,12/2021
0598,Hecate Energy Albany 2 LLC,Albany County 2,1/10/17,20,20,S,Albany,NY,F,Long Lane - Lafarge 115kV,NM-NG,10,2/29/20,SIS,,05/2020,05/2020,06/2020
0612,"Deepwater Wind South Fork, LLC",South Fork Wind Farm,2/14/17,96,96,W,Suffolk,NY,K,East Hampton 69kV,LIPA,9,11/30/19,SRIS,,01/2022,08/2022,11/2022
0617,"North Park Energy, LLC",Watkins Glen Solar,3/27/17,50,50,S,Schuyler,NY,C,Bath - Montour Falls 115kV,NYSEG,9,11/30/19,SRIS,,09/2020,10/2020,12/2020
0618,"North Park Energy, LLC",High River Solar,3/27/17,90,90,S,Schenectady,NY,F,Stoner - Rotterdam 115kV,NM-NG,9,4/30/19,SRIS,,09/2020,10/2020,11/2020
0619,"North Park Energy, LLC",East Point Solar,3/27/17,50,50,S,Schoharie,NY,F,Sharon - Marshville 69kV,NM-NG,9,11/30/19,SRIS,,09/2021,10/2021,12/2021
0620,"North Park Energy, LLC",North Side Solar,3/27/17,180,180,S,St. Lawrence,NY,D,Massena - Moses 230kV,NYPA,9,1/31/20,"FES, SRIS",,07/2022,09/2022,11/2022
0621,"Blue Stone Solar Energy, LLC",Saugerties Solar,3/27/17,20,20,S,Ulster,NY,G,Saugerties - Woodstock 69kV,CHGE,10,12/31/19,"SIS, FS",8/21/19,10/2020,10/2020,12/2020
0624,"Franklin Solar, LLC",Franklin Solar,4/11/17,150,150,S,Franklin,NY,D,Malone 115kV Substation,NM-NG,7,9/30/18,SRIS,,12/2020,12/2020,12/2020
0629,"Silver Lake Solar, LLC",Silver Lake Solar,4/27/17,24.9,24.9,S,Wyoming,NY,C,South Perry 34.5kV Substation,NYSEG,9,1/31/20,"FES, SRIS",,07/2021,09/2021,11/2021
0631,"Champlain Hudson Power Express, Inc.",NS Power Express,5/2/17,1000,1000,DC,Quebec - New York,NY,J,"New Scotland, Astoria Annex 345kV",NM-NG/NYPA,7,1/31/19,SRIS,,12/2021,12/2021,12/2021
0632,GridAmerica Holdings Inc.,Alps - Berkshire,5/4/17,N/A,N/A,AC,Rensselaer,NY,F,Alps - Berkshire 345kV,NM-NG,6,2/28/19,SIS,,09/2021,N/A,N/A
0637,Flint Mine Solar LLC,Flint Mine Solar,6/29/17,100,100,S,Greene,NY,G,"LaFarge - Pleasant Valley 115kV, Feura Bush - North Catskill 115kV",NM-NG,9,11/30/19,"FES, SRIS",,10/2021,10/2021,11/2021
0638,"Pattersonville Solar Facility, LLC",Pattersonville,7/11/17,20,20,S,Montgomery,NY,F,Rotterdam - Meco 115kV,NM-NG,10,2/29/20,"FES, SIS",,08/2020,10/2020,10/2020
0644,"Hecate Energy Columbia County 1, LLC",Columbia County 1,7/26/17,60,60,S,Columbia,NY,F,Craryville Substation 115kV,NYSEG,9,1/31/20,"FES, SRIS",,10/2021,10/2021,10/2021
0649,"CR Fuel Cell, LLC",Clare Rose,8/3/17,13.9,13.9,FC,Suffolk,NY,K,William Floyd Substation 69kV,LIPA,9,10/31/19,"FES, SIS",,12/2020,12/2020,12/2020
0650,"BRT Fuel Cell, LLC",Brookhaven Rail Terminal,8/3/17,18.5,18.5,FC,Suffolk,NY,K,W. Yaphank - Yaphank 69kV,LIPA,9,11/30/19,"FES, SIS",,04/2022,01/2022,05/2022
0654,Renovo Energy Center LLC,Renovo Energy Center,8/11/17,N/A, N/A ,AC,Clinton,PA,C,Homer City - Mainsburg 345kV,NYSEG,9,8/31/19,SIS,,10/2020,N/A,N/A
0666,Martin Rd Solar LLC,Martin Rd Solar,9/14/17,20,20,S,Machias,NY,A,Arcade - Five Mile 115kV,NM-NG,9,11/30/19,SIS,,09/2021,10/2021,10/2021
0667,Bakerstand Solar LLC,Bakerstand Solar,9/14/17,20,20,S,Cattaraugus,NY,A,Machias - Maplehurst 34.5kV,NM-NG,10,2/29/20,SIS,,09/2022,10/2022,10/2022
0668,"North Bergen Liberty Generating, LLC",Liberty Generating Alternative,9/15/17,1171,1172,CC,New York,NY,J,West 49th St Substation 345kV,ConEd,9,12/31/19,SRIS,,04/2023,04/2023,02/2024
0669,SED NY Holdings LLC,Clay Solar,9/21/17,20,20,S,Clay,NY,C,Clay - Lockheed 115kV,NM-NG,9,12/31/19,"FES, SIS",,12/2020,11/2020,12/2020
0670,SED NY Holdings LLC,Skyline Solar,9/21/17,20,20,S,Westmoreland,NY,E,Campus Rd - Clinton 46kV,NM-NG,9,12/31/19,"FES, SIS",,12/2020,11/2020,12/2020
0671,East Coast Power LLC,Linden Cogen Uprate,9/25/17,32,23,CT,Union,NJ,J,Linden Cogen 345kV,ConEd,9,12/31/19,SRIS,,03/2023,05/2023,05/2023
