Queue Pos.,Owner/Developer,Project Name,Date of IR,SP (MW),WP (MW),Type/ Fuel,County,State,Z,Interconnection Point,Utility ,S,Last Update,Availability of Studies,FS Complete/ SGIA Tender,Proposed  In-Service,Proposed Initial-Sync,Proposed COD
0678,"LI Solar Generation, LLC",Calverton Solar Energy Center,10/26/17,22.9,22.9,S,Suffolk,NY,K,Edwards Substation 138kV,LIPA,9,7/31/19,SRIS,,10/2020,11/2020,12/2020
0679,"Anbaric Development Partners, LLC",New York City Offshore Wind,11/7/17,1200,1200,W,Kings,NY,J,Farragut 345kV,ConEd,3,4/30/19,,,07/2025,11/2025,12/2025
0680,"Anbaric Development Partners, LLC",Long Island Offshore Wind,11/7/17,700,700,S,Suffolk,NY,K,Ruland Rd. 138kV,LIPA,5,1/31/20,FES,,07/2025,11/2025,12/2025
0682,"Grissom Solar, LLC",Grissom Solar,10/18/19,20,20,S,Johnstown,NY,F,Ephratah - Florida 115kV,NM-NG,9,12/31/19,"FES, SIS",,05/2020,06/2020,12/2020
0683,"KCE NY 2, LLC",KCE NY 2,1/18/18,200,200,ES,Montgomery,NY,G,Coldenham Substation 115kV,CHGE,9,1/31/20,SRIS,,05/2021,05/2021,06/2021
0684,"ITC Lake Erie Connector, LLC",Lake Erie Connector,1/18/18,N/A,N/A,AC,Chautauqua,NY,A,S. Ripley 230kV,NM-NG,10,9/30/19,"SIS, FS",4/22/19,03/2024,N/A,N/A
0686,Invenergy Solar Development North America LLC,Bull Run Solar Energy Center,1/26/18,170,170,S,Clinton,NY,D,Patnode - Duley 230kV,NYPA,7,5/31/19,SRIS,,10/2020,10/2020,12/2020
0693,"Renovo Energy Center, LLC",Renovo Energy Center Uprate,2/13/18,515,548,CC,Clinton,PA,C,Homer City - Mainesburg 345kV,NYSEG,7,4/30/19,SRIS,,10/2020,11/2020,04/2021
0694,"Sunset Hill Solar, LLC",Sunset Hill Solar,2/16/18,20,20,S,Albany,NY,G,New Baltimore - Westerlo NW 69 kV,CHGE,5,9/30/19,FES,,08/2020,07/2020,08/2020
0695,"Deepwater Wind, LLC",South Fork Wind Farm II,2/16/18,40,40,W,Suffolk,NY,K,East Hampton 69kV,LIPA,9,11/30/19,SRIS,,01/2022,08/2022,12/2022
0696,"Eagle Creek Hydro Power, LLC",Swinging Bridge Unit 3,3/21/18,1.2,1.2,H,Orange,NY,G,Swing Bridge 69 kV,O&R,12,5/31/19,,6/20/18,07/2019,07/2019,07/2019
0697,"Helix Ravenswood, LLC",Ravenswood Energy Storage 1,3/9/18,129,129,ES,Queens,NY,J,Rainey - Farragut 345kV,ConEd,9,10/31/19,SRIS,,03/2022,12/2021,05/2022
0698,"Helix Ravenswood, LLC",Ravenswood Energy Storage 2,3/9/18,129,129,ES,Queens,NY,J,Vernon-Rainey 138kV,ConEd,9,10/31/19,SRIS,,03/2022,12/2021,05/2022
0699,"Helix Ravenswood, LLC",Ravenswood Gas,3/9/18,238.5,243.8,CT,Queens,NY,J,Rainey - Farragut 345kV,ConEd,7,12/31/19,SRIS,,03/2022,01/2022,06/2022
0700,"Able Grid Energy Solutions, LLC",Robinson Grid,3/13/18,300,300,ES,Kings,NY,J,Gowanus Substation 345kV,ConEd,5,4/30/19,FES,,10/2020,11/2020,12/2020
0701,"KCE NY 1, LLC",KCE NY 1,3/15/18,20,20,ES,Saratoga,NY,F,Luther - Forest Substation 34.5kV,NYSEG,14,12/31/19,,6/20/18,,,I/S
0702,"Anbaric Development Partners, LLC",Long Island Offshore AC,3/15/18,800,800,W,Suffolk,NY,K,Ruland Rd. 138kV,LIPA,3,4/30/19,,,07/2025,11/2025,12/2025
0703,"Anbaric Development Partners, LLC",New York City Offshore AC,3/15/18,800,800,W,Kings,NY,J,Farragut 345kV,ConEd,3,11/30/18,,,07/2025,11/2025,12/2025
0704,"Bear Ridge Solar, LLC",Bear Ridge Solar,3/20/18,100,100,S,Niagara,NY,A,Mountain- Lockport 115kV,NM-NG,9,1/31/20,SRIS,,09/2022,10/2022,12/2022
0706,"High Bridge Wind, LLC",High Bridge Wind,4/25/18,100.8,100.8,W,Chenango,NY,E,E. Norwich - Jennison 115kV,NYSEG,9,9/30/19,SRIS,,08/2021,09/2021,11/2021
0709,"Alder Creek Solar, LLC",Alder Creek Solar,5/18/18,205,205,S,Oneida,NY,E,Chases Lake Ð Porter 230kV,NM-NG,5,12/31/19,FES,,07/2020,07/2020,12/2020
0710,Invenergy Solar Development North America LLC,Horseshoe Solar,5/29/18,180,180,S,Livingston,NY,B,Golah Substation 115kV,NM-NG,5,9/30/19,FES,,10/2021,10/2021,12/2021
0713,"EDF Renewables Development, Inc.",Edora B Solar Energy Center,6/1/18,20,20,S,Orange,NY,G,Hartley Substation 69kV,O&R,3,2/28/19,,,10/2021,10/2021,11/2021
0715,"EDF Renewables Development, Inc.",Suffragette Solar Energy Center,6/1/18,20,20,S,Cayuga,NY,C,Hyatt Substation 34.5kV,NYSEG,9,2/29/20,"FES, SIS",,10/2021,10/2021,11/2021
0716,"EDF Renewables Development, Inc.",Moraine Solar Energy Center,6/4/18,87.4,93.5,S,Allegany,NY,C,Moraine Substation 115kV,NYSEG,5,9/30/19,FES,,09/2021,09/2021,10/2021
0717,"EDF Renewables Development, Inc.",Morris Ridge Solar Energy Center,6/4/18,177,177,S,Steuben,NY,C,South Perry - Meyer 230kV,NYSEG,5,9/30/19,FES,,09/2021,09/2021,10/2021
0718,"Cortland Energy Center, LLC",Cortland Energy Center,6/7/18,50,50,S,Cortland,NY,C,Cortland - SUNY 115 kV,NM-NG,9,9/30/19,SRIS,,08/2022,09/2022,11/2022
0719,"East Light Energy Center, LLC",East Light Energy Center,6/7/18,40,40,S,Montgomery,NY,F,Meco - Rotterdam 115 kV,NM-NG,8,10/31/19,SRIS,,08/2022,09/2022,11/2022
0720,"North Light Energy Center, LLC",North Light Energy Center,6/7/18,80,80,S,Seneca,NY,C,Border City - Station 168 115 KV,NYSEG,9,9/30/19,SRIS,,08/2022,09/2022,11/2022
0721,"Excelsior Energy Center, LLC",Excelsior Energy Center,6/7/18,280,280,S,Genesee,NY,A,N. Rochester-Niagara Falls 345 kV,NYPA,9,10/31/19,SRIS,,06/2022,08/2022,11/2022
0722,"Empire State Solar, LLC",Manchester Solar,6/7/18,20,20,S,Ontario,NY,C,Station 168 34.5 kV line #704,RG&E,5,1/31/20,,,09/2020,10/2020,12/2020
0730,"Darby Solar, LLC",CS Easton Solar 1,6/11/18,20,20,S,Washington,NY,F,Mohican - Schaghticoke 115kV,NM-NG,9,1/31/20,"FES, SIS",,01/2021,12/2020,03/2021
0731,"Branscomb Solar, LLC",CS Easton Solar 2,6/11/18,20,20,S,Washington,NY,F,Battenkill - Eastover 115kV,NM-NG,9,11/30/19,"FES, SIS",,01/2021,12/2020,03/2021
0734,ELP Ticonderoga Solar LLC,Ticonderoga Solar,6/12/18,20,20,S,Essex,NY,F,Ticonderoga 115kV - Republic Line 2,NM-NG,7,1/31/20,"FES, SIS",,04/2021,05/2021,05/2021
0735,ELP Stillwater Solar LLC,ELP Stillwater Solar,6/12/18,20,20,S,Saratoga,NY,F,Luther Forest - Mohican 115kV,NM-NG,9,9/30/19,"FES, SIS",,07/2020,07/2020,08/2020
0737,Equinor Wind US LLC,Empire Wind,6/12/18,816,816,W,New York,NY,J,Gowanus Substation 345kV,ConEd,9,9/30/19,SRIS,,06/2023,02/2024,12/2024
0738,Equinor Wind US LLC,Empire Wind II,6/12/18,816,816,W,Suffolk,NY,K,Ruland Rd. Substation 138kV,LIPA,9,9/30/19,SRIS,,06/2023,02/2024,12/2024
0740,Oakdale Battery Storage LLC,Oakdale Battery Storage,6/18/18,120,120,ES,Broome,NY,C,Oakdale Substation 115kV,NYSEG,5,2/28/19,,,07/2021,05/2021,08/2021
0741,"Bluestone Wind, LLC",Bluestone Battery Storage,7/2/18,10,10,ES,Broome,NY,E,Afton - Stilesville 115kV,NYSEG,7,2/29/20,,,08/2020,10/2020,11/2020
0742,"Consolidated Edison Co. of NY, Inc.",Astoria Storage on Demand,7/5/18,1.5,1.5,ES,Queens,NY,J,North Queens Substation,ConEd,5,9/30/19,,,12/2019,05/2020,06/2020
0744,"Granada Solar, LLC",Magruder Solar,7/18/18,20,20,S,Ulster,NY,G,East Walden - Modena 115kV,CHGE,7,11/30/19,SIS,,11/2020,11/2020,12/2020
0745,"Energy Storage Resources, LLC",Huckleberry Ridge Energy,7/25/18,100,100,ES,Orange,NY,G,Shoemaker-Westtown 69kV,O&R,5,1/31/19,,,03/2022,03/2022,04/2022
0746,"Energy Storage Resources, LLC",Peconic River Energy Storage,7/30/18,150,150,ES,Suffolk,NY,K,Brookhaven - Sills 138kV,LIPA,9,1/31/20,SRIS,,02/2022,05/2022,05/2022
0748,"Regan Solar, LLC",Grissom II Solar,8/9/18,20,20,S,Fulton,NY,F,Market Hill - Johnstown 69kV,NM-NG,9,1/31/20,SIS,,05/2020,06/2020,12/2020
0751,"Calpine Mid Atlantic Development, LLC",Stony Brook Storage,8/14/18,24,24,ES,Suffolk,NY,K,8LR substation 69kV,LIPA,4,2/29/20,FES,,01/2021,03/2021,06/2021
0754,"Anbaric Development Partners, LLC",New York Ocean Grid - Canal,8/20/18,800,800,W,Suffolk,NY,K,Canal Substation 138kV,LIPA,3,4/30/19,,,07/2025,11/2025,12/2025
0755,"Anbaric Development Partners, LLC",New York Ocean Grid - Shoreham,8/20/18,800,800,W,Suffolk,NY,K,Shoreham Substation 138kV,LIPA,4,2/29/20,FES,,07/2025,11/2025,12/2025
0756,"Rising Solar, LLC",Rising Solar II,8/24/18,20,20,S,Orange,NY,G,Sugarloaf Substation - 69kV,O&R,7,2/29/20,,,10/2019,10/2019,10/2019
0758,"Sithe/Independence Power Partners, LP",Sithe Independence,9/6/18,9,27,CC,Oswego,NY,C,Sithe 345kV Substation,NM-NG,7,12/31/19,SRIS,,I/S,I/S,I/S
0759,"KCE NY 6, LLC",KCE NY 6,9/6/18,20,20,ES,Erie,NY,A,Gardenville - Bethlehem Steel Wind 115kV Line #150,NM-NG,9,12/31/19,SIS,,9/2020,10/2020,10/2020
0760,New York Power Authority,Moses-Adirondack,9/7/18,N/A,N/A,AC,St. Lawrence-Lewis,NY,"D, E",Moses - Adirondack 230kV,NYPA,5,12/31/19,,,12/2020,N/A,N/A
0762,Invenergy Storage Development LLC,Riverhead Storage Energy Center,9/17/18,75,75,ES,Suffolk,NY,K,Brookhaven - Edwards Ave 138kV,LIPA,4,12/31/19,FES,,10/2021,10/2021,12/2021
0764,Bay State Wind LLC,NY Wind Canal,9/28/18,440,440,W,Suffolk,NY,K,Canal Substation 138kV,LIPA,5,9/30/19,,,01/2023,05/2023,01/2024
0765,Bay State Wind LLC,NY Wind Brookhaven,9/28/18,880,880,W,Suffolk,NY,K,Brookhaven 138kV,LIPA,5,6/30/19,,,01/2023,05/2023,01/2024
0766,Bay State Wind LLC,NY Wind Holbrook,9/28/18,880,880,W,Suffolk,NY,K,Holbrook 138kV,LIPA,4,6/30/19,,,01/2023,05/2023,01/2024
0767,Bay State Wind LLC,NY Wind Gowanus,9/28/18,1200,1200,W,New York,NY,J,Gowanus Substation 345kV,ConEd,3,6/30/19,,,01/2023,04/2024,05/2024
0768,"Janis Solar, LLC",Janis Solar,10/1/18,20,20,S,Broome,NY,C,Willet 34.5kV,NYSEG,10,2/29/20,SIS,,12/2020,01/01/21,03/2021
0769,New York Power Authority,North County Energy Storage,10/5/18,20,20,ES,Franklin,NY,D,Willis Substation 115kV,NYPA,5,6/30/19,,,04/2020,04/2020,04/2020
0770,KCE NY8 LLC,KCE NY 8a,10/9/18,20,20,ES,Greene,NY,G,South Cairo Substation 13.2kV,CHGE,5,10/31/19,,,05/2020,05/2020,05/2020
0774,"EDF Renewables Development, Inc.",Tracy Solar Energy Centre,10/18/18,119,119,S,Jefferson,NY,E,Thousand Island - Lyme 115kV,NM-NG,5,4/30/19,,,12/2022,12/2022,01/2023
0775,"Puckett Solar, LLC",Puckett Solar,10/22/18,20,20,S,Chenango,NY,E,Chenango Forks Substation 34.5kV,NYSEG,7,2/29/20,SIS,,03/2020,03/2020,04/2020
0776,Greenidge Generation LLC,Greenidge Load,10/22/18,N/A,N/A,L,Yates,NY,C,Greenidge 115kV,NYSEG,5,9/30/19,,,12/2019,N/A,N/A
0777,"Community Energy Solar, LLC",White Creek Solar,11/1/18,135,135,S,Livingston,NY,B,Sta 82 - Sta 128 115kV,RG&E,5,4/30/19,,,12/2021,11/2021,12/2021
0778,Astoria Generating Company LP,Gowanus Gas Turbine Facility Repowering,11/8/18,549,588,CT,Kings,NY,J,Gowanus Substation 345kV,ConEd,9,1/31/20,SRIS,,05/2024,05/2024,05/2024
0779,Hecate Energy Gedney Hill LLC,Gedney Hill Solar,11/9/18,20,20,S,Albany,NY,G,New Baltimore - Westerlo 69kV,CHGE,5,1/31/20,FES,,03/2020,03/2020,04/2020
0780,Hecate Energy Johnstown LLC,Johnstown Solar,11/9/18,20,20,S,Schenectady,NY,F,Stoner - Rotterdam 115kV,NM-NG,5,6/30/19,,,03/2020,03/2020,04/2020
0781,New York Power Authority,Marcy South SSR Detection,12/3/18,N/A,N/A,AC,Delaware,NY,E,Fraser - Annex 345 kV Substation,NYPA,12,9/30/19,SIS,N/A,12/2019,N/A,N/A
0782,Invenergy Solar Development North America LLC,Hornell Storage,12/4/18,20,20,ES,Steuben,NY,C,Bennett 34.5kV,NYSEG,5,9/30/19,,,10/2020,10/2020,12/2020
0783,ConnectGen Chautauqua County LLC,South Ripley Solar,12/7/18,270,270,S,Chautauqua,NY,A,South Ripley Substation 230kV,NM-NG,5,1/31/20,FES,,09/2022,09/2022,11/2022
0784,"High Bridge Wind, LLC",High Bridge Battery,12/11/18,5,5,ES,Chenango,NY,E,E. Norwich - Jennison 115kV,NYSEG,5,9/30/19,,,09/2021,10/2021,12/2021
0785,ConnectGen Erie-Wyoming LLC,Erie-Wyoming County Solar,12/12/18,175,175,S,Wyoming,NY,C,Stolle Road - High Sheldon 230kV,NYSEG,3,5/31/19,,,09/2022,09/2022,11/2022
0786,"Ravenswood Development, LLC",Ravenswood Energy Storage,12/20/18,187,187,ES,Queens,NY,J,Rainey - Farragut 345kV,ConEd,5,9/30/19,,,01/2021,10/2020,03/2021
0787,"Levy Grid, LLC","Levy Grid, LLC",12/20/18,150,150,ES,Erie,NY,A,Gardenville Subsation 115kV,NM-NG,5,9/30/19,,,04/2021,04/2021,05/2021
0788,"Atlantic Shores Offshore Wind Project 3, LLC",Atlantic Shores Offshore Wind 7,1/14/19,880,880,W,Nassau,NY,K,East Garden City 345kV Substation,LIPA,3,2/28/19,,,06/2025,08/2025,12/2025
0789,"Atlantic Shores Offshore Wind Project 3, LLC (EDF)",Atlantic Shores Offshore Wind 8,1/14/19,880,880,W,Kings,NY,J,Gowanus Substation 345kV,ConEd,5,9/30/19,,,06/2025,08/2025,12/2025
0790,"Atlantic Shores Offshore Wind Project 2, LLC (EDF)",Atlantic Shores Offshore Wind 9,1/14/19,880,880,W,Richmond,NY,J,Fresh Kills 345kV,ConEd,5,9/30/19,,,06/2025,08/2025,12/2025
0791,Danskammer Energy LLC,Danskammer Energy Center,1/14/19,84.4,88.9,CC,Orange,NY,G,Danskammer 115kV Substation,CHGE,9,1/30/20,SRIS,,10/2023,10/2023,10/2023
0792,"Anbaric Development Partners, LLC",Long Island Offshore Wind Connection,1/29/19,300,300,W,Suffolk,NY,K,Ruland Road 138kV Substation,LIPA,5,12/31/19,,,07/2025,11/2025,12/2025
0800,"EDF Renewables Development, Inc.",Rich Road Solar Energy Center,2/20/19,240,240,S,St. Lawrence,NY,E,Moses - Adirondack 230kV,NYPA,3,9/30/19,,,11/2024,12/2024,12/2024
0801,"Prattsburgh Wind, LLC",Prattsburgh Wind Farm,2/21/19,147,147,W,Steuben,NY,C,Stoney Ridge - Canadaigua 230kV,NYSEG,2,9/30/19,,,10/2022,11/2022,12/2022
0802,"EDF Renewables Development, Inc.",Bunker Solar Energy Center,3/6/19,125,125,ES,Franklin,NY,D,Willis - Lyon Mt 115kV,NYSEG,3,9/30/19,,,11/2023,12/2023,12/2023
0803,"Yonkers Grid, LLC","Yonkers Grid, LLC",3/11/19,200,200,ES,Westchester,NY,I,Dunwoodie - 138kV Bus,ConEd,3,9/30/19,,,04/2022,04/2022,05/2022
0804,"KCE NY 10, LLC",KCE NY 10,3/22/19,20,20,ES,Erie,NY,A,Erie Substation 34.5kV,NYSEG,3,9/30/19,,,08/2020,08/2020,09/2020
0805,"Oxbow Hill Solar, LLC",Oxbow Hill Solar,3/22/19,140,140,S,Madison,NY,C,Fenner - Whitman 115kV,NM-NG,3,12/31/19,,,08/2022,09/2022,09/2022
0806,SED NY Holdings LLC,Limestone Solar,3/25/19,20,20,S,Fulton,NY,F,Stoner - Rotterdam 115kV,NM-NG,3,9/30/19,,,10/2021,11/2021,11/2021
0807,SED NY Holdings LLC,Hilltop Solar,3/28/19,20,20,S,Rensselaer,NY,F,Eastover - Schaghticoke 115kV,NM-NG,5,9/30/19,,,10/2021,11/2021,11/2021
0808,"Barrett Ridge Energy, LLC",Barrett Ridge Energy,4/1/19,107,107,ES,Orange,NY,G,Sugar Loaf - Vernon 115kV,CHGE,2,5/31/19,,,03/2022,01/2022,03/2022
0809,"Seven Creek Energy, LLC",Seven Creek Energy,4/1/19,240,240,ES,Chautauqua,NY,A,South Ripley Substation 230kV,NM-NG,2,5/31/19,,,03/2022,01/2022,03/2022
0811,Hecate Energy Cider Solar LLC,Cider Solar,4/3/19,800,800,S,Genesee,NY,A,Kintigh - Niagara 345kV,NYSEG,5,9/30/19,,,08/2023,10/2023,12/2023
0812,Diamond Generating Corporation,CWW 200 Wind,4/3/19,200,200,W,Erie,NY,A,Harbor Front 115kV,NM-NG,3,1/31/20,,,12/2023,12/2023,12/2023
0813,Diamond Generating Corporation,CWW 300 Wind,4/3/19,300,300,W,Erie,NY,A,Harbor Front 115kV,NM-NG,3,1/31/20,,,12/2023,12/2023,12/2023
0814,Diamond Generating Corporation,CWW 300 MW DUN,4/3/19,300,300,W,Chautauqua,NY,A,Dunkirk Substation 230kV,NM-NG,3,1/31/20,,,12/2023,12/2023,12/2023
0815,Bayonne Energy Center,Bayonne Energy Center III,4/5/19,49.8,49.8,ES,Kings,NY,J,Gowanus Substation 345kV,ConEd,5,12/31/19,,,08/2022,01/2021,02/2021
0816,LIPA,NNC TTC Increase,4/5/19,N/A,N/A,AC,Suffolk,NY,K,Northport Substation 138kV,LIPA,4,12/31/19,,,12/2023,N/A,N/A
0822,Astoria Generating Company LP,Narrows Generating Barge Battery Energy Storage,4/15/19,58,58,ES,Kings,NY,J,Narrows Barge Feeder 23162,ConEd,5,9/30/19,,,07/2022,09/2022,12/2022
0823,"Wildwood Energy Storage, LLC",Wildwood Energy Storage,4/15/19,116.7,116.7,ES,Suffolk,NY,K,Wildwood Substation 138kV,LIPA,4,1/31/20,FES,,09/2022,10/2022,12/2022
0824,"Wildwood Energy Storage, LLC",Wildwood Shoreham Energy Storage,4/15/19,76.9,76.9,ES,Suffolk,NY,K,Shoreham Substation 69kV,LIPA,4,1/31/20,FES,,10/2022,11/2022,12/2022
0825,"Setauket Energy Storage, LLC",Setauket Energy Storage,4/15/19,76.9,76.9,ES,Suffolk,NY,K,Port Jefferson - Terryville 69kV,LIPA,4,1/31/20,FES,,12/2021,11/2021,12/2021
0826,NRG Astoria Storage LLC,Astoria Energy Storage 1,4/18/19,66,66,ES,Queens,NY,J,North Queens 27kV Bus,ConEd,4,6/30/19,,,05/2022,08/2022,12/2021
0827,NRG Arthur Kill Storage LLC,Arthur Kill Energy Storage 1,4/22/19,15,15,ES,Richmond,NY,J,Fresh Kills 13.8kV,ConEd,5,1/31/20,,,05/2022,08/2022,10/2022
0828,SED NY Holdings LLC,Valley Solar,4/24/19,20,20,S,Tioga,NY,C,Owego 34.5kV Substation,NYSEG,5,12/31/19,,,10/2021,11/2021,11/2021
0830,NRG Astoria Storage LLC,Astoria Energy Storage 2,4/26/19,79.9,79.9,ES,Queens,NY,J,Astoria West 138kV Substation,ConEd,5,12/31/19,,,01/2024,04/2024,06/2024
